Key,Value,Origin
джинн,— jinn (جِنّ) «дух»,Из арабского
джихад,"— jihād (جِهَاد) «борьба, усилие»",Из арабского
жасмин,"— yasmīn (يسمين), через французский",Из арабского
жираф,"— zarafa, zurafa (زرافة), через французский",Из арабского
зенит,"— samt (semt), из zemt-er-ras — букв. «путь над головой»",Из арабского
имам,— ʾimām (إِمَام),Из арабского
ислам,— al-Islām (الإسلام‎‎) «покорность (воле Бога)»,Из арабского
казна,"— khzna (خزينَة), через тюркский",Из арабского
кайф,"— kīf (كيف) «праздность, отдых»",Из арабского
калий,— al-qalyah (القَلْيَه‎) «поташ»,Из арабского
камфора,— kafur,Из арабского
кандалы,"— qajdāni, дв. от qajd «завязка»",Из арабского
карат,— единица веса для алмазов,Из арабского
каркаде,,Из арабского
кебаб,— kabāb (كَبَاب) «обжаривание мяса»,Из арабского
кибитка,— qubba (قُبَّة) «купол»,Из арабского
Коран,"— al-qur'ān (أَلْقُرآن) «чтение вслух, назидание»",Из арабского
кофе,— qahwa (قهوة) «вид вина»,Из арабского
лак,— lakk (لاک),Из арабского
лютня,"— al-‘ūd (العود) «дерево», через польский",Из арабского
магазин,— maχáːzin (مخازن) «склад»,Из арабского
Магомед,— muḥammad (مُحَمَّد) из ḥammada (حَمَّدَ) «восхвалять»,Из арабского
мазут,— mahzūlāt ‎(مَهْزُولَات) «отходы»,Из арабского
марафет,"— معرفة, через турецкий",Из арабского
матрац,"— matrah «подстилка», через нидерландский",Из арабского
мечеть,— mæsdʒɪd (مسجد) «место поклонения»,Из арабского
минарет,"— manārah (منارة‎‎) «маяк», через турецкий и французский",Из арабского
моджахед,"— mujāhid (مُجَاهِد) из jāhada (جَاهَدَ) «стремиться, маяться, трудиться»",Из арабского
мулла,— mullā ‎(مُلَّا),Из арабского
муссон,"— mawsim (موسم) «сезон; погода», через португальский и французский",Из арабского
муфтий,— al-muftī (اَلْمُفْتِي) из ʾaftā (أَفْتَى) «выражать официальное мнение»,Из арабского
набат,— nawba (نَوْبَة) «смена караула»,Из арабского
надир,— naẓīru as-samt (نَظِيرُ السَّمْت) «противоположный зениту»,Из арабского
рамадан,— ramaḍān (رَمَضَان) из irtamaḍa (اِرْتَمَضَ) «быть в горе и печали»,Из арабского
риал,/ риял (الريال) «денежная единица»,Из арабского
сафари,"— сафар (السفاري) «путешествие», через английский",Из арабского
сель,— sayl (سَيْل) «бурный поток»,Из арабского
суахили,— sāḥil (سَاحِل) «берег»,Из арабского
султан,"— سلطان (sultān) «правитель, король/королева, власть, властвование»",Из арабского
сумбур,(спорная трактовка) — сомбур «неуправляемый поток воды»,Из арабского
сундук,"— ṣundūq (صُنْدُوق) «касса, ящик»",Из арабского
талиб,"— ṭālib (طَالِب) из ṭalaba (طَلَبَ) «искать, просить»",Из арабского
тариф,— tʿariffa (تعرفة) «извещение (об оплате)»,Из арабского
факир,— faqīr (فقير) «бедняк»,Из арабского
фата,— futa «салфетка»,Из арабского
фисташка,— fistaq (فِسْتَق),Из арабского
фитиль,"— фа-таля, через турецкий",Из арабского
фундук,— funduq (فُنْدُق) из др.-греч. πανδοκεῖον ‎(pandokeîon) «всё + получу»,Из арабского
халат,"— hil’at (خِلْعَة) «почётное платье», через турецкий",Из арабского
халва,— ḫalva (حلوى) «сладость»,Из арабского
халиф,"— khalīfah (خليفة) «преемник, наследник»",Из арабского
хана,(спорная трактовка) (жарг.) — Саххатейн уа хАна «пожелание двойного здоровья и благополучия»,Из арабского
ханжа,— haǧǧi «паломник»,Из арабского
хиджаб,— ḥijāb (حِجَاب),Из арабского
хна,— ħinnā’ (حناء) «Lawsonia inermis»,Из арабского
цифра,", шифровать — ṣifr (صفر) «пустой, нуль». Процесс шифрования в древности часто заключался заменой букв ми или наборами условных знаков, в том числе точек. Точка посреди строки обозначает цифру ноль в арабском написании",Из арабского
шайтан,"— shayTaan (شيطان) «сатана, дьявол»",Из арабского
шариат,— šarīʿa (شَرِيعَة),Из арабского
шаурма,— šāwirmā (شَاوِرْمَا),Из арабского
шафран,— za’farān (زَعْفَرَان),Из арабского
шейх,"— šayḵ (شَيْخ) из šāḵa (شَاخَ) «расти, стареть»",Из арабского
шиит,"— شيعة‎‎ (шӣ‘а) «приверженцы, партия, фракция»",Из арабского
шуба,— jūbba (جُوبَّة) «долгие одежды»,Из арабского
эликсир,— al-iksir (الإكسير),Из арабского
юбка,— jūbbä (جوبّة) «нижнее платье из хлопчатобумажной ткани»,Из арабского
яшма,"— yasm, через турецкий",Из арабского
барбекю,"— barbakoa, через испанский barbacoa",Из аравакского (таино)
батат,"— batata, через испанский",Из аравакского (таино)
гамак,"— hamaka («висячая сетка»), через испанский",Из аравакского (таино)
гуайява,"— guayabo, через испанский",Из аравакского (таино)
игуана,"— iwana, через испанский",Из аравакского (таино)
кайман,— chamàna,Из аравакского (таино)
каннибал,"— Caniba, через испанский",Из аравакского (таино)
каноэ,— canaoua,Из аравакского (таино)
кариб,"— kalino «сила, отвага»",Из аравакского (таино)
кассава,— kasava,Из аравакского (таино)
колибри,— colibri,Из аравакского (таино)
ламантин,"— manati «грудь», «вымя», через франц. и исп.",Из аравакского (таино)
маис,"— marisi, через испанский maíz",Из аравакского (таино)
мангры,"— mangle, через испанский",Из аравакского (таино)
папайя,"— papáia, через испанский",Из аравакского (таино)
саванна,"— sabana, через испанский",Из аравакского (таино)
табак,", табачный — tobako",Из аравакского (таино)
ураган,"— juracán, через испанский",Из аравакского (таино)
Ямайка,— Xaymaca «страна лесов и воды»,Из аравакского (таино)
бастурма,— բաստուրմա ‎(basturma) из турецк. bastırma,Из армянского
кочерга,— խաչերկաթ ‎(xačʿerkatʿ),Из армянского
лаваш,— լավաշ ‎(lavaš) из турецк.,Из армянского
шампур,— շամփուր из др.-сирийского ܫܦܘܕܐ ‎(šappūδā). Альтернатива — грузинского происхождения,Из армянского
апартеид,"— apartheid, из голл. apart «отделять» +‎ -heid",Из африкаанс
бур,— boer «фермер»,Из африкаанс
квагга,— kwagga («степная зебра») или из хойсанского qha-ha,Из африкаанс
авокадо,"— āwakaλ, āhuacatl «яйцо»",Из ацтекского (науатль)
Гватемала,— Cuauhtēmallān «место многих деревьев»,Из ацтекского (науатль)
какао,— cacahuatl,Из ацтекского (науатль)
койот,— coyōtl,Из ацтекского (науатль)
копал,— copalli «фимиам»,Из ацтекского (науатль)
маис,— mais,Из ацтекского (науатль)
мескаль,— mezcal,Из ацтекского (науатль)
оцелот,— ocēlōtl «ягуар»,Из ацтекского (науатль)
текила,— tequila,Из ацтекского (науатль)
томат,— xitomatl,Из ацтекского (науатль)
шоколад,— chocolatl,Из ацтекского (науатль)
Юкатан,— Yucatá «место юкка»,Из ацтекского (науатль)
Ангола,( кимбунду ) — ngola «королевский титул»,Из языков банту
зомби,"( кимбунду ) — nzambi «дух умершего, фетиш»",Из языков банту
Кения,( кикуйю ) — kere nyaga «белая гора»,Из языков банту
Конго,( конго ) — nkongo «охотники»,Из языков банту
макака,"— makaku, через португ.",Из языков банту
Малави,"( ньяджа , чева ) — malawi «пламя»",Из языков банту
понго,( конго ) — mpongo «горилла»,Из языков банту
Руанда,( руанда - рунди ) — rwanda,Из языков банту
хаки,"(серо-зелёный цвет) «грязь», через франц.",Из языков банту
це-це,( тсвана ) — tsêtsê,Из языков банту
шимпанзе,( чилуба ) — ci-mpenzi «похожий на человека»,Из языков банту
баранка,,Из белорусского
кувалда,— через белорусский из польского kowadło «наковальня»,Из белорусского
песняр,— пясняр,Из белорусского
дольмен,— daul maen «плоский камень»,Из бретонского
кромлех,— krom lech «круглое место»,Из бретонского
менгир,— mein hir «длинный камень»,Из бретонского
мина,"(лицо) — min «клюв, морда»",Из бретонского
пьеса,"— pez «кусок», через французский",Из бретонского
Байкал,"— Байгал нуур, из тюрк. *bāj ‎""богатый"" + *köl, *(k)ȫl «озеро»",Из бурятского
лама,—,Из бурятского
малахай,— малгай «шапка». Альтернатива — из монгол.,Из бурятского
шара,"— шаара «чаинки, подонки, остатки»",Из бурятского
пингвин,— pen gwyn «белая голова» (изначально название бескрылой гагарки),Из валлийского
фланель,— gwlān «шерсть» (через французский или немецкий),Из валлийского
гайдук,"— hajdúk «пехотинец», через украинский",Из венгерского
гонвед,"— honvéd, из hon «родина» + véd «защищать»",Из венгерского
гусар,"— huszár, от husz «двадцать» — легковооружённые всадники XV–XX веков, которых брали по 1 чел. из каждых 20 призывников.",Из венгерского
гуляш,— gulyás «мясо по пастушьи» — блюдо венгерской кухни в виде густого супа-рагу,Из венгерского
кучер,"— kocsi «дорожный экипаж» от Kocs — города Коч, через немецкий",Из венгерского
лечо,— lecsó «рататуй»,Из венгерского
мадьяр,"— magyar: mogy- «человек» + -ër «человек, мужчина», через украинский",Из венгерского
паприка,— paprikás «красный перец»,Из венгерского
сабля,— szablya «резак» от szabni «резать»,Из венгерского
форинт,"— forint, от итал. fiorino «цветочек»",Из венгерского
хутор,"— альтернатива — древненижнегерманский huntary «часть области», через украинский",Из венгерского
чардаш,"— csárdás «таверна», «корчма»",Из венгерского
минтай,— cá minh thái Alaska (Алясская сайда),Из вьетнамского
блюдо,— biuÞs (прагерм. *beuda-),Из готского
верблюд,— ulbandus «» (< лат. elephantus «слон» < др.-греч. ἐλέφας «слон»,Из готского
вино,— wein «» < прагерм. *wīnan- «» < лат. vīnum «»,Из готского
виноградник,— weinagards «»,Из готского
вкус,— 𐌺𐌰𐌿𐍃𐌾𐌰𐌽 (kausjan),Из готского
Дунай,— *Dōnawi < лат. Dānuvius « (в верхнем течении)»,Из готского
искусить,— kausjan «пробовать»,Из готского
котёл,"— *katils или *katilus < лат. catillus «блюдечко, тарелочка»,",Из готского
купить,— kauрōn «торговать» < лат. Саuрō,Из готского
лев,"— *le(w)o- было заимствовано из лат. leō, которое, в свою очередь, пришло из др.-греч. Λέων",Из готского
лекарство,— lekinon < прагерм. *lēkinōn- «лечить» < пракельт. *lēgi- «врач»,Из готского
лесть,— lists «хитрость»,Из готского
лихва,— leiƕаn «ссужать»,Из готского
меч,— mēki,Из готского
обильный,"— gabeigs, gabigs",Из готского
осёл,— asilus < лат. Asellus,Из готского
полк,"— *fulkus < прагерм. *fulka- «народ, люди»",Из готского
стекло,— stikls «кубок»,Из готского
ужас,— usgaisjan «ать»,Из готского
хлеб,— hlaifs « из кислого теста»,Из готского
хоругвь,"— *hrungō «палка, посох». Альтернатива — маньчжурское происхождение",Из готского
абхаз,— აფხაზი [ɑpʰxɑzi],Из грузинского
Батуми,— ბათუმი (batumi) от др.-греч. βαθύς ‎(bathús) «глубоко»,Из грузинского
боржоми,"— ბორჯომი, от ბურჯი [burdʒi] «причал»",Из грузинского
Гори,"— გორი (gori), от გორა ‎(gora) «гора, холм»",Из грузинского
картвел,"— ქართველი [kʰɑrtʰvɛli] «грузин», от ქართლი [kʰɑrtʰli] «Картли»",Из грузинского
кефир,"— კეფირი [ḳepiri] в мегрельском (и осетинском ) kipuri «простокваша, приготовляемая в мехе»",Из грузинского
кинза,"— ქინძი [kinʒi] «кориандр», из армянского գինձ ‎(ginj)",Из грузинского
козинак,"— გოზინაყი [ɡɔzɪnɑqʼɪ], далее из среднеперсидского gwzynk' (gôzênag) «грецкий орех»",Из грузинского
лобио,— ლობიო [lobio],Из грузинского
мацони,"— მაწონი [mɑtsʼɔni], из армянского մածուն ‎(macun) «свернувшийся, склеенный»",Из грузинского
мегрел,— მეგრელი [mɛɡrɛli],Из грузинского
мцыри,,Из грузинского
нарды,"— ნარდი [nɑrdi], из персидского نرد ‎(nard) то же",Из грузинского
осетин,"— ოსეთი [ɔsɛtʰi], из аланского As",Из грузинского
сакля,— სახლი [sɑxli] «дом»,Из грузинского
сацебели,— საწებელი [sac̣ebeli],Из грузинского
сван,— სვანი [svɑni],Из грузинского
сулугуни,"— სულგუნი [sulɡunɪ], из дигорского осетинского sulu «сыворотка» + -гун «сделана из»",Из грузинского
тамада,— თამადა [tʰɑmɑdɑ] «руководитель застолья»,Из грузинского
харчо,— ხარჩო [xɑrtʃɔ],Из грузинского
хачапури,— ხაჭაპური [xɑtʃʼɑpʼuri]: ხაჭო ‎[xač̣o] «творожок» +‎ პური ‎[ṗuri] «хлеб»,Из грузинского
чахохбили,— ჩახოხბილი [tʃɑxɔxbili] «фазан»,Из грузинского
чача,— ჭაჭა [tʃʼɑtʃʼɑ],Из грузинского
шампур,— შამფური [ʃɑmpʰuri]. Альтернатива — армянского происхождения,Из грузинского
бард,— bard «поэт»,Из гэльского (шотландского)
виски,"— uisge beatha «вода жизни, живая вода», от праиндоевр. *wodor (*wedor, *uder), от корня *wed- (вода)",Из гэльского (шотландского)
гламур,"— glamer, от gramarye «магия, заклинание»",Из гэльского (шотландского)
друид,"— druides; родств. др.-ирл. druíd «кудесник», возможно, также др.-англ. trēow «дерево»",Из гэльского (шотландского)
клан,"— clann «семья, потомство», далее из др.-ирл. cland «семья, потомство»",Из гэльского (шотландского)
колли,— cuilean «щенок»,Из гэльского (шотландского)
макинтош,"— от имени Чарльза Макинтоша Charles Macintosh (1766–1843), который запантетовал резиную одежду",Из гэльского (шотландского)
плед,"— plaide «одеяло, покрывало» от peallaid «овечья шкура»",Из гэльского (шотландского)
пони,"— ponaidh «маленькая лошадь», из ст.-франц. poulenet, уменьш. от poulain — жеребёнок, от позд.-лат. pullanus «детёныш, молодое животное», из лат. pullus «детёныш, молодое животное»",Из гэльского (шотландского)
слоган,"— sluagh-ghairm: sluagh «армия, воинство» + gairm «крик»",Из гэльского (шотландского)
стронций,"— Sròn an t-Sìthein (название местности в Шотландии, где впервые были обнаружены залежи стронция)",Из гэльского (шотландского)
блюдо,"— biutta «квашня, улей», нов.-в.-нем. Beute «добыча» от готск. biudan «предлагать»",Из древнегерманского
болт,"— bolt(e) или нидерл. bout, далее из прагерм. формы *bultas",Из древнегерманского
бондарь,— butinna < лат. butina < др.-греч. πῡτίνη «оплетённая бутылка»,Из древнегерманского
боров,"— barug, barh «кастрированный кабан»",Из древнегерманского
бочка,— *bukjō- < нар.-лат. buttia «бутылка»,Из древнегерманского
броня,— *brunjō- «нагрудник» из кельтских языков,Из древнегерманского
бук,— *bōk(j)ō- «»,Из древнегерманского
буква,"— *bōks «книга, письмо»",Из древнегерманского
вага,— *wēgō-,Из древнегерманского
вал,"— wal < лат. vallum «изгородь, насыпь»",Из древнегерманского
валах,"— walah, walh «чужеземец, кельт, представитель романских народов»",Из древнегерманского
витязь,— *wīkinga-,Из древнегерманского
геральдика,— *heriwald «военачальник» от *ker- «армия» + *h₂welh₁- «управлять»,Из древнегерманского
гораздо,— *garazdō-,Из древнегерманского
доска,"— *diska- «стол, блюдо», из лат. discus «диск, блюдо», из др.-греч. δίσκος «метательный круг, диск, блюдо»",Из древнегерманского
изба,— *stubō- «тёплое помещение» < вульг.-лат. *extūfa «баня»,Из древнегерманского
карась,— karas < лат. caracinus,Из древнегерманского
князь,"— *kuninga- «глава рода, вождь племени»",Из древнегерманского
колодец,— *kaldinga-,Из древнегерманского
король,"— Karal, Karl «Карл (Великий)»",Из древнегерманского
крамола,— karmala «мятеж»,Из древнегерманского
крест,"— Xristus, др.-в.-нем. Christ «Христос» < лат. Chrīstus «Христос» < др.-греч. Χρῑστός",Из древнегерманского
кубок,"— *kubil- нем. Kübel «чан, бадья, кадка» < лат. cupella «бочонок или чан»",Из древнегерманского
ликовать,"— *laika- «пляска, игра»",Из древнегерманского
лук,— *lauka- «»,Из древнегерманского
мавр,— *mōr- «» < лат. maurus «»,Из древнегерманского
монах,— munih «» < вульг. лат. monicus < др.-греч. Μοναχός,Из древнегерманского
овощ,"— ovet, avet< *uba-ēta-",Из древнегерманского
петля,"— *fatila- «путы, узы»",Из древнегерманского
пила,— fīla «напильник» (прагерм. *finh(a)lō- или *finhilō-),Из древнегерманского
плуг,— plōga-,Из древнегерманского
поп,"— *papa- «, священник» < др.-греч. Παπᾶς",Из древнегерманского
пост,— *postiti sę «иться»,Из древнегерманского
редька,"— redik, redich < лат. rādīx «корень»",Из древнегерманского
Рим,— Rȗma или готск. Rūmа «» < лат. Rōma,Из древнегерманского
скот,"— *skatta- «деньги, собственность»",Из древнегерманского
ступа,— *stampa-,Из древнегерманского
труба,— *trumbō- « (инструмент)»,Из древнегерманского
тын,"— *tūna- «изгородь, забор»",Из древнегерманского
фляжка,— flasca или прагерм. *flaskō,Из древнегерманского
халупа,— *xalupa,Из древнегерманского
хижина,— *hūsa- «(однокомнатный) дом»,Из древнегерманского
хлев,"— hlêu «приют, навес от ветра» < прагерм. *hlaiwa- «могила, курган»",Из древнегерманского
холм,— *hulma(n)-,Из древнегерманского
холст,"— hulst «оболочка, покрывало»",Из древнегерманского
художник,"— *handuga-, *handaga-",Из древнегерманского
царь,"— kaisar, нем. Kaiser < прагерм. *kaisar- < лат. caesar «цезарь (титул)»",Из древнегерманского
церковь,— *kirikō- < др.-греч. Κυρικόν,Из древнегерманского
шлем,— *helma- «»,Из древнегерманского
явор,— āhorn «клён»,Из древнегерманского
абазия,"— ἀν- (ἀ-) «без-» + βάσις «шаг», от βαίνω «ходить»",Из древнегреческого
автаркия,— αὐτάρκεια «независимость»: αὐτο «подлинный» + αρκειν (arkein) «хватать»,Из древнегреческого
автобиография,"— αὐτός «сам, он» + βίος «жизнь» + γράφω «описываю»",Из древнегреческого
автограф,"— αὐτός «сам, он» + γράφω «описываю»",Из древнегреческого
автокефалия,"— αὐτοκεφαλία «самоглавие», из αὐτός «сам, он» + κεφαλή «голова»",Из древнегреческого
автономия,"— αὐτονομία: из αὐτός «сам, он» + νόμος «закон», от νέμω «распределять»",Из древнегреческого
автохтон,"— αὐτο «подлинный» + χθών земля""",Из древнегреческого
агамия,"— ἀγαμία «безбрачие», из ἀν- (ἀ-) «без-» + γάμος «брак»",Из древнегреческого
агиасма,— αγίασμα «святыня»,Из древнегреческого
агностик,"— ἄγνωστος, из ἀν- (ἀ-) «без-» + γνωστός «известный, знакомый»",Из древнегреческого
агностицизм,— ἀ- + γνῶσις «отрицание + познание»,Из древнегреческого
агония,"— ἀγωνία «борьба», из ἀγών «борьба, состязание», из ἄγω «вести, гнать»",Из древнегреческого
агора,"— ἀγορά «народное собрание и место, проводились такие собрания»",Из древнегреческого
агорафобия,"— αγορά «площадь» + φόβος «страх», из φοβέω «бояться»",Из древнегреческого
агроном,"— ἀγρονόμος, из ἀγρός «поле, пашня; деревня» + νόμος «закон», от νέμω «распределять»",Из древнегреческого
ад,— Ἅδης « Гес »,Из древнегреческого
адрон,— χαδρύς «сильный»,Из древнегреческого
академия,", академик — Ἀκαδήμεια, местность (роща) в древних Афинах, где с 385 г. до н. э. находилась платоновская  и где, по преданию, был похоронен герой Ака́дем (Ἀκάδημος)",Из древнегреческого
акафист,"— ἀκάθιστος «неседальный (гимн)», из ἀν- «без-» + καθίζω «сажать, сидеть»",Из древнегреческого
акация,"— ἀκακία, от ἄκακος «невинный»",Из древнегреческого
акме,"— ἀκμή, из индоевроп. *aḱ- «острый»",Из древнегреческого
акрибия,"— ἀκρίβεια «величайшая точность, скрупулёзность в выполнении какой-либо работы»",Из древнегреческого
акробат,"— ακροβάτης, от ακροβατέω «хожу на цыпочках»: ἄκρον «вершина», из ἄκρος «высший» + βατής «ходящий», от βαίνω «хожу»",Из древнегреческого
акроним,"— от ἄκρος «высший, верхний» + ὄνυμα «имя»",Из древнегреческого
акрополь,"— ἀκρόπολις «верхний город»: ἄκρος «высший, верхний» + πόλις «город, государство»",Из древнегреческого
акростих,"— ακροστιχίς: ἄκρος «высший, верхний» + stichos «стих»",Из древнегреческого
аксиома,"— ἀξίωμα «принятое положение, утверждение», из ἀξίόω «удостаиваю»",Из древнегреческого
аллегория,"— ἀλληγορία «иносказание», из ἄλλος «другой, иной», далее из праиндоевр. *al- «другой, иной» + ἀγορεύειν «говорить в собрании, обращаться к аудитории»; далее от ἀγορά «собрание, совещание»",Из древнегреческого
аллергия,"— ἄλλος «другой, иной» + ἔργον «дело, работа»",Из древнегреческого
алфавит,— от названий первых букв греческого а αλφα + βητα,Из древнегреческого
амброзия,"— ἀμβροσία «бессмертие», из ἀν- (ἀ-) «без-» + βροτός «смертный»",Из древнегреческого
амвон,"— ἄμβων «возвышение», от ἄμβων «выпуклость»",Из древнегреческого
амёба,"— ἀμοιβή «смена», из ἀμείβω «менять, меняться; проходить»",Из древнегреческого
аммиак,"— Ἀμμωνιακός «аммонов», по имени египетского бога Аммона (Амона)",Из древнегреческого
амфибия,"— ἀμφίβιος, из ἀμφί «с обеих сторон» + βίος «жизнь», через франц.",Из древнегреческого
амфитеатр,"— ἀμφιθέατρον, из ἀμφί «с обеих сторон» + θέατρον «место для зрелищ, театр», через нем. или франц.",Из древнегреческого
амфора,"— ἀμφορεύς, из ἀμφί «с обеих сторон» + φορέω «несу»",Из древнегреческого
амфотерный,"— ἀμφότερος, из ἀμφί «с обеих сторон»",Из древнегреческого
анабиоз,"— ἀναβίωσις, из ἀνά «вверху, вверх, обратно» + βίος «жизнь»",Из древнегреческого
анализ,", аналитика — ἀνάλυσις «разложение», из ἀνά «вверху, вверх, обратно» + λύσις «растворение». Введено англ.физиком Р.Бойлем (1627–1691)",Из древнегреческого
анальгезия,"— ἀναλγής, из ἀν- (ἀ-) «не, без» + ἄλγος «боль, страдание»",Из древнегреческого
анамнез,"— ἀνάμνησις «воспоминание», из ἀνά «вверху, вверх, обратно» + μιμνῄσκω «напоминать»",Из древнегреческого
анатомия,"— ἀνατομή: ἀνατέμνω «разрезаю», из ἀνα- + τέμνω «режу, рублю»",Из древнегреческого
анафема,"— ἀνάθεμα, от ἀνατίθημι «возлагать»: ἀνά «вверх» + τίθημι «класть»",Из древнегреческого
анахронизм,"— ἀναχρονισμός, от ἀναχρονίζω, из ἀνά «вверху, вверх, обратно» + χρόνος «время»",Из древнегреческого
ангел,"— ἄγγελος «вестник, посланец»",Из древнегреческого
ангиография,— αγγείο «сосуд» + γράφω «описываю»,Из древнегреческого
анероид,— а + nerys («вода») — действующий без помощи жидкости,Из древнегреческого
анестезия,"— ἀναισθησία, из ἀν- (ἀ-) «не, без» + αἴσθησις «ощущение» из αἰσθάνομαι «ощущать»",Из древнегреческого
анизокория,"— ἀν- (ἀ-) «не, без» + из ἴσος «равный» + из κόρη «девушка, дева; зрачок»",Из древнегреческого
анион,"— ἀνιών, от ἄνειμι «подниматься», из ἀνά «вверху, вверх, обратно» + εἶμι «идти, ходить»",Из древнегреческого
анис,— ανηθον «укроп» (раньше часто путали),Из древнегреческого
анод,"— ἄνοδος «восхождение», из ἀνά «вверху, вверх, обратно» + ὁδός «дорога, путь»",Из древнегреческого
аномальный,"— ἀνώμαλος, из ἀν- (ἀ-) «не, без» + ὁμαλός «равный», из ὁμός «одинаковый»",Из древнегреческого
анорексия,"— ἀ- «не, без» + ὄρεξις «жажда, стремление»",Из древнегреческого
антагонист,"— ἀνταγωνιστής, от ἀνταγωνίζομαι «соперничать», из ἄντα (ἀντί) «против, напротив» + ἀγών «борьба, состязание»",Из древнегреческого
антем,"— ἀντίφωνος, от ἀντι- «противо-» + φωνή «голос, звук»",Из древнегреческого
анти,"— ἀντι- «против, вместо» (префикс/приставка)",Из древнегреческого
антидор,"— ἀντι- «против» + δῶρ, от δίδωμι «давать»",Из древнегреческого
антилопа,— ἀνθόλοψ,Из древнегреческого
антиминс,"— ἄντα «против» + лат. mensa «стол, трапеза»",Из древнегреческого
антипатия,"— ἀντιπάθεια, из ἄντα (ἀντί) «против, напротив» + -πάθεια «-патия», из πάθος «страсть», из πάσχω «страдать, терпеть»",Из древнегреческого
антипод,"— ἀντίποδες, из ἄντα (ἀντί) «против, напротив» + πούς (род. п. ποδός) «нога»",Из древнегреческого
антифон,"— «противогласие»: ἄντα «против» + φωνή «голос, звук»",Из древнегреческого
антихрист,"— ἄντα «против» + χριστός «помазанник», из иврита משיח (маши́ах) «помазать»",Из древнегреческого
антология,"— ἀνθολογία «собрание цветов», из ἄνθος «цветок» + λογία «сбор пожертвований» от λέγω «говорю, сообщаю»; родств. λόγος «слово, речь, разум; мнение»",Из древнегреческого
антоним,"— ἀντι- «против, вместо» + ὄνομα «имя»",Из древнегреческого
антропогенез,"— ἄνθρωπος, от ἀνήρ «мужчина, человек» + γένεσις «рождение»",Из древнегреческого
антропология,"— ἀνθρωπολόγος, от ἀνήρ «мужчина, человек» + λόγος «слово, речь, разум; мнение»",Из древнегреческого
антропометрия,— «измерение человеческого тела»,Из древнегреческого
антропоним,"— ἄνθρωπος, от ἀνήρ «мужчина, человек» + ὄνυμα «имя»",Из древнегреческого
аорта,"— ἀορτή ‎(aortḗ), от ἀείρω ‎(aeírō) «я поднимаю»",Из древнегреческого
апогей,"— ἀπόγειος, из ἀπο- «от-, из-» + γῆ (др. формы γέα, γαῖα) «земля»",Из древнегреческого
апокалипсис,"— ἀποκάλυψις «откровение», от ἀποκαλύπτω «открывать», из ἀπο- «от-» + καλύπτω «закрывать»",Из древнегреческого
апокриф,"— ἀπόκρυφος «скрытый», от ἀπο- «от-» + κρύπτω «скрываю»",Из древнегреческого
апологет,"— ἀπολογητές, от ἀπολογοῦμαι «защищать», от ἀπόλογος, из ἀπο- «от-, из-» + λόγος «слово, речь, разум; мнение»",Из древнегреческого
апоплексия,"— ἀποπληξία, из ἀπο- «от-, из-» + πλήσσω «бить»",Из древнегреческого
апостол,"— ἀπόστολος, от ἀποστέλλω «посылаю», из ἀπο- «от-» + στέλλω «ставлю»",Из древнегреческого
апостроф,"— ἀπόστροφος из ἀπο «от-», «в сторону» и στρέφο «кружу, вращаю»",Из древнегреческого
апофеоз,"— ἀποθέωσις, из ἀποθεόω «обожествлять», из ἀπο- «от-, из-» + θεός «божество, бог»",Из древнегреческого
апофиз,"— ἀπόφυσις «отросток», из ἀπο- «от-, из-» + φύσις «вещество», из φύω «рождать»",Из древнегреческого
апраксия,"— ἀπραξία: ἀν- (ἀ-) «не, без» + πραξία «деятельность, действие»",Из древнегреческого
апрель,"— Ἀπρίλιος «месяц, когда греет солнце» от Ἀφροδίτη «Афродита»",Из древнегреческого
аптека,"— ἀποθήκη, из ἀποτίθημι «откладывать», из ἀπο- «от-, из-» + τίθημι «класть»",Из древнегреческого
арахнология,"— ἀράχνη «паук» + λόγος «слово, речь, разум; мнение»",Из древнегреческого
аргонавт,"— Ἀργοναύτης «плавающий на Арго», из Ἀργώ «Арго» + ναύτης «мореплаватель», от ναῦς «корабль, судно»",Из древнегреческого
аристократия,— «власть избранных»,Из древнегреческого
арифметика,"— ἀριθμητική, из ἀριθμός «количество, число»",Из древнегреческого
артерия,"— ἀρτηρία «трахея, », из ἀέρα τηρεῖν «содержащая воздух», через лат.",Из древнегреческого
артрит,"— ἄρθρον «член; сустав», из ἀραρίσκω «смыкать, сплачивать»",Из древнегреческого
архаизм,"— ἀρχᾱϊσμός, из ἀρχαῖος «древний», из ἀρχή «начало, начальство»",Из древнегреческого
археология,"— ἀρχαιολογία, из ἀρχαῖος «древний», из ἀρχή «начало», + λογία «сбор пожертвований» от λέγω «рассказываю»; родств. λόγος «слово, речь, разум; мнение»",Из древнегреческого
архиепископ,"— ἀρχιεπίσκοπος ‎(arkhiepískopos), от ἀρχι ‎(arkhi) «первый, старый» + ἐπίσκοπος ‎(epískopos) «надзиратель»",Из древнегреческого
архиерей,"— ἀρχιερεύς «первосвященник», от ἀρχι ‎(arkhi) «первый, старый» + ἱερεύς «священник», из ἱερός «великий»",Из древнегреческого
архимандрит,"— αρχιμανδρίτες, от ἀρχι ‎(arkhi) «первый, старый» + μάνδρα «загон (монастырь)»",Из древнегреческого
аскет,"— ἀσκητής «упражняющийся», от ἀσκέω «обрабатывать, упражняться»",Из древнегреческого
